"","Subject","Activity","MeasureName","mean(MeasureVal)"
"1",1,"WALKING","angletBodyAccJerkMean,gravityMean",0.00901810943544669
"2",1,"WALKING","angletBodyAccMean,gravity",0.0376077057057925
"3",1,"WALKING","angletBodyGyroJerkMean,gravityMean",-0.0016303535815562
"4",1,"WALKING","angletBodyGyroMean,gravityMean",-0.0134509534112392
"5",1,"WALKING","angleX,gravityMean",-0.535773765244957
"6",1,"WALKING","angleY,gravityMean",0.122790250801441
"7",1,"WALKING","angleZ,gravityMean",-0.0390790177233429
"8",1,"WALKING","fBodyAccJerkMeanX",-0.547348892435764
"9",1,"WALKING","fBodyAccJerkMeanY",-0.507343617969859
"10",1,"WALKING","fBodyAccJerkMeanZ",-0.695305113832853
"11",1,"WALKING","fBodyAccJerkStdX",-0.543979776127867
"12",1,"WALKING","fBodyAccJerkStdY",-0.466251676533372
"13",1,"WALKING","fBodyAccJerkStdZ",-0.737861932680115
"14",1,"WALKING","fBodyAccMagMean",-0.478448523354179
"15",1,"WALKING","fBodyAccMagStd",-0.589710231217867
"16",1,"WALKING","fBodyAccMeanX",-0.531895161258213
"17",1,"WALKING","fBodyAccMeanY",-0.406435448904438
"18",1,"WALKING","fBodyAccMeanZ",-0.596411165253602
"19",1,"WALKING","fBodyAccStdX",-0.553060616663401
"20",1,"WALKING","fBodyAccStdY",-0.390150939647061
"21",1,"WALKING","fBodyAccStdZ",-0.498583091676081
"22",1,"WALKING","fBodyBodyAccJerkMagMean",-0.499075765624092
"23",1,"WALKING","fBodyBodyAccJerkMagStd",-0.541823079570029
"24",1,"WALKING","fBodyBodyGyroJerkMagMean",-0.645970655298847
"25",1,"WALKING","fBodyBodyGyroJerkMagStd",-0.685811262634006
"26",1,"WALKING","fBodyBodyGyroMagMean",-0.535002770337752
"27",1,"WALKING","fBodyBodyGyroMagStd",-0.566576670397695
"28",1,"WALKING","fBodyGyroMeanX",-0.623219182311527
"29",1,"WALKING","fBodyGyroMeanY",-0.505309434070029
"30",1,"WALKING","fBodyGyroMeanZ",-0.553529065425648
"31",1,"WALKING","fBodyGyroStdX",-0.708263420861671
"32",1,"WALKING","fBodyGyroStdY",-0.429825832648703
"33",1,"WALKING","fBodyGyroStdZ",-0.650476162132565
"34",1,"WALKING","tBodyAccJerkMagMean",-0.545431612066571
"35",1,"WALKING","tBodyAccJerkMagStd",-0.515922167555159
"36",1,"WALKING","tBodyAccJerkMeanX",0.0770930495126801
"37",1,"WALKING","tBodyAccJerkMeanY",0.0165908438802305
"38",1,"WALKING","tBodyAccJerkMeanZ",-0.00910758730117003
"39",1,"WALKING","tBodyAccJerkStdX",-0.524721922818732
"40",1,"WALKING","tBodyAccJerkStdY",-0.470412403511239
"41",1,"WALKING","tBodyAccJerkStdZ",-0.717322274881844
"42",1,"WALKING","tBodyAccMagMean",-0.453632943768818
"43",1,"WALKING","tBodyAccMagStd",-0.497096402038329
"44",1,"WALKING","tBodyAccMeanX",0.265696920582133
"45",1,"WALKING","tBodyAccMeanY",-0.0182981725176081
"46",1,"WALKING","tBodyAccMeanZ",-0.10784573454611
"47",1,"WALKING","tBodyAccStdX",-0.545795331328326
"48",1,"WALKING","tBodyAccStdY",-0.367716218227378
"49",1,"WALKING","tBodyAccStdZ",-0.502645746562824
"50",1,"WALKING","tBodyGyroJerkMagMean",-0.639517432642651
"51",1,"WALKING","tBodyGyroJerkMagStd",-0.652050770910663
"52",1,"WALKING","tBodyGyroJerkMeanX",-0.0971120197265994
"53",1,"WALKING","tBodyGyroJerkMeanY",-0.0417164808293948
"54",1,"WALKING","tBodyGyroJerkMeanZ",-0.0471393985477522
"55",1,"WALKING","tBodyGyroJerkStdX",-0.637812687210375
"56",1,"WALKING","tBodyGyroJerkStdY",-0.634472244550432
"57",1,"WALKING","tBodyGyroJerkStdZ",-0.664591977786455
"58",1,"WALKING","tBodyGyroMagMean",-0.475404785802305
"59",1,"WALKING","tBodyGyroMagStd",-0.499839593745821
"60",1,"WALKING","tBodyGyroMeanX",-0.0208764064320173
"61",1,"WALKING","tBodyGyroMeanY",-0.0880722729400576
"62",1,"WALKING","tBodyGyroMeanZ",0.0862641666597983
"63",1,"WALKING","tBodyGyroStdX",-0.686555715201729
"64",1,"WALKING","tBodyGyroStdY",-0.450979810499568
"65",1,"WALKING","tBodyGyroStdZ",-0.597496136795101
"66",1,"WALKING","tGravityAccMagMean",-0.453632943768818
"67",1,"WALKING","tGravityAccMagStd",-0.497096402038329
"68",1,"WALKING","tGravityAccMeanX",0.744867411573487
"69",1,"WALKING","tGravityAccMeanY",-0.0825562579855908
"70",1,"WALKING","tGravityAccMeanZ",0.072339870389049
"71",1,"WALKING","tGravityAccStdX",-0.959859435936599
"72",1,"WALKING","tGravityAccStdY",-0.951150627458213
"73",1,"WALKING","tGravityAccStdZ",-0.925817590867435
"74",2,"WALKING","angletBodyAccJerkMean,gravityMean",0.0140445759570199
"75",2,"WALKING","angletBodyAccMean,gravity",0.00987176748993709
"76",2,"WALKING","angletBodyGyroJerkMean,gravityMean",-0.0372927976207285
"77",2,"WALKING","angletBodyGyroMean,gravityMean",0.0745850523983444
"78",2,"WALKING","angleX,gravityMean",-0.434486657251656
"79",2,"WALKING","angleY,gravityMean",0.17228684113245
"80",2,"WALKING","angleZ,gravityMean",-0.0788654586730132
"81",2,"WALKING","fBodyAccJerkMeanX",-0.561682049622185
"82",2,"WALKING","fBodyAccJerkMeanY",-0.50890379901457
"83",2,"WALKING","fBodyAccJerkMeanZ",-0.715745330403973
"84",2,"WALKING","fBodyAccJerkStdX",-0.595105612895033
"85",2,"WALKING","fBodyAccJerkStdY",-0.509147543673841
"86",2,"WALKING","fBodyAccJerkStdZ",-0.767087015496689
"87",2,"WALKING","fBodyAccMagMean",-0.514569861316887
"88",2,"WALKING","fBodyAccMagStd",-0.646662308457285
"89",2,"WALKING","fBodyAccMeanX",-0.57377091142947
"90",2,"WALKING","fBodyAccMeanY",-0.432566581302351
"91",2,"WALKING","fBodyAccMeanZ",-0.630081222124834
"92",2,"WALKING","fBodyAccStdX",-0.619788102803311
"93",2,"WALKING","fBodyAccStdY",-0.464723862913245
"94",2,"WALKING","fBodyAccStdZ",-0.600678614835099
"95",2,"WALKING","fBodyBodyAccJerkMagMean",-0.509746432970861
"96",2,"WALKING","fBodyBodyAccJerkMagStd",-0.518800797709272
"97",2,"WALKING","fBodyBodyGyroJerkMagMean",-0.751615078360927
"98",2,"WALKING","fBodyBodyGyroJerkMagStd",-0.744194981440397
"99",2,"WALKING","fBodyBodyGyroMagMean",-0.699742945221854
"100",2,"WALKING","fBodyBodyGyroMagStd",-0.725310337688742
"101",2,"WALKING","fBodyGyroMeanX",-0.638717694593046
"102",2,"WALKING","fBodyGyroMeanY",-0.722068978635762
"103",2,"WALKING","fBodyGyroMeanZ",-0.601594889654305
"104",2,"WALKING","fBodyGyroStdX",-0.734588540182119
"105",2,"WALKING","fBodyGyroStdY",-0.72716774102649
"106",2,"WALKING","fBodyGyroStdZ",-0.683114494539735
"107",2,"WALKING","tBodyAccJerkMagMean",-0.58777744543543
"108",2,"WALKING","tBodyAccJerkMagStd",-0.512115278415232
"109",2,"WALKING","tBodyAccJerkMeanX",0.0785353156747351
"110",2,"WALKING","tBodyAccJerkMeanY",0.00708771249764901
"111",2,"WALKING","tBodyAccJerkMeanZ",0.000755760748377483
"112",2,"WALKING","tBodyAccJerkStdX",-0.557809603123841
"113",2,"WALKING","tBodyAccJerkStdY",-0.491875889831788
"114",2,"WALKING","tBodyAccJerkStdZ",-0.741885388311258
"115",2,"WALKING","tBodyAccMagMean",-0.535281800541722
"116",2,"WALKING","tBodyAccMagStd",-0.552812545643709
"117",2,"WALKING","tBodyAccMeanX",0.273113115788079
"118",2,"WALKING","tBodyAccMeanY",-0.0191323183174834
"119",2,"WALKING","tBodyAccMeanZ",-0.115649958175497
"120",2,"WALKING","tBodyAccStdX",-0.605586497159271
"121",2,"WALKING","tBodyAccStdY",-0.428962986589404
"122",2,"WALKING","tBodyAccStdZ",-0.589360062210596
"123",2,"WALKING","tBodyGyroJerkMagMean",-0.746559539039735
"124",2,"WALKING","tBodyGyroJerkMagStd",-0.740088733655629
"125",2,"WALKING","tBodyGyroJerkMeanX",-0.0875587491668874
"126",2,"WALKING","tBodyGyroJerkMeanY",-0.0433986835453642
"127",2,"WALKING","tBodyGyroJerkMeanZ",-0.0557541828188742
"128",2,"WALKING","tBodyGyroJerkStdX",-0.671679103311258
"129",2,"WALKING","tBodyGyroJerkStdY",-0.783595466728477
"130",2,"WALKING","tBodyGyroJerkStdZ",-0.674611933293046
"131",2,"WALKING","tBodyGyroMagMean",-0.614771054893146
"132",2,"WALKING","tBodyGyroMagStd",-0.680584887880795
"133",2,"WALKING","tBodyGyroMeanX",-0.0517030657821192
"134",2,"WALKING","tBodyGyroMeanY",-0.0568420186817881
"135",2,"WALKING","tBodyGyroMeanZ",0.0872599422291391
"136",2,"WALKING","tBodyGyroStdX",-0.710648927815894
"137",2,"WALKING","tBodyGyroStdY",-0.722943674337748
"138",2,"WALKING","tBodyGyroStdZ",-0.634888927843046
"139",2,"WALKING","tGravityAccMagMean",-0.535281800541722
"140",2,"WALKING","tGravityAccMagStd",-0.552812545643709
"141",2,"WALKING","tGravityAccMeanX",0.660782866688742
"142",2,"WALKING","tGravityAccMeanY",-0.147219886910411
"143",2,"WALKING","tGravityAccMeanZ",0.134865335090728
"144",2,"WALKING","tGravityAccStdX",-0.963015508245033
"145",2,"WALKING","tGravityAccStdY",-0.960033560165563
"146",2,"WALKING","tGravityAccStdZ",-0.945365383907285
"147",3,"WALKING","angletBodyAccJerkMean,gravityMean",0.0134500193845455
"148",3,"WALKING","angletBodyAccMean,gravity",0.0140943888357038
"149",3,"WALKING","angletBodyGyroJerkMean,gravityMean",-0.0192074752090909
"150",3,"WALKING","angletBodyGyroMean,gravityMean",0.0359008263363636
"151",3,"WALKING","angleX,gravityMean",-0.503323420175953
"152",3,"WALKING","angleY,gravityMean",0.075626283568915
"153",3,"WALKING","angleZ,gravityMean",-0.0174901508665689
"154",3,"WALKING","fBodyAccJerkMeanX",-0.645893496630499
"155",3,"WALKING","fBodyAccJerkMeanY",-0.582949919157742
"156",3,"WALKING","fBodyAccJerkMeanZ",-0.780101644193548
"157",3,"WALKING","fBodyAccJerkStdX",-0.657844055881525
"158",3,"WALKING","fBodyAccJerkStdY",-0.559851186088408
"159",3,"WALKING","fBodyAccJerkStdZ",-0.81080601659824
"160",3,"WALKING","fBodyAccMagMean",-0.579076453758064
"161",3,"WALKING","fBodyAccMagStd",-0.663079838985044
"162",3,"WALKING","fBodyAccMeanX",-0.625733289873607
"163",3,"WALKING","fBodyAccMeanY",-0.501779938505279
"164",3,"WALKING","fBodyAccMeanZ",-0.699656828592375
"165",3,"WALKING","fBodyAccStdX",-0.623805015199413
"166",3,"WALKING","fBodyAccStdY",-0.502753639795894
"167",3,"WALKING","fBodyAccStdZ",-0.657443765803519
"168",3,"WALKING","fBodyBodyAccJerkMagMean",-0.604752108072727
"169",3,"WALKING","fBodyBodyAccJerkMagStd",-0.615643694857361
"170",3,"WALKING","fBodyBodyGyroJerkMagMean",-0.810085498651026
"171",3,"WALKING","fBodyBodyGyroJerkMagStd",-0.810032718739003
"172",3,"WALKING","fBodyBodyGyroMagMean",-0.716822144279179
"173",3,"WALKING","fBodyBodyGyroMagStd",-0.703839403007038
"174",3,"WALKING","fBodyGyroMeanX",-0.642097719778592
"175",3,"WALKING","fBodyGyroMeanY",-0.775144985073314
"176",3,"WALKING","fBodyGyroMeanZ",-0.670734708996481
"177",3,"WALKING","fBodyGyroStdX",-0.719276622702346
"178",3,"WALKING","fBodyGyroStdY",-0.758505287214076
"179",3,"WALKING","fBodyGyroStdZ",-0.751008875659824
"180",3,"WALKING","tBodyAccJerkMagMean",-0.650182434328446
"181",3,"WALKING","tBodyAccJerkMagStd",-0.607658214170381
"182",3,"WALKING","tBodyAccJerkMeanX",0.0701731261988856
"183",3,"WALKING","tBodyAccJerkMeanY",0.0144664329060411
"184",3,"WALKING","tBodyAccJerkMeanZ",-0.000526818872875366
"185",3,"WALKING","tBodyAccJerkStdX",-0.635484688041056
"186",3,"WALKING","tBodyAccJerkStdY",-0.55721186773783
"187",3,"WALKING","tBodyAccJerkStdZ",-0.796066240234604
"188",3,"WALKING","tBodyAccMagMean",-0.563140802770059
"189",3,"WALKING","tBodyAccMagStd",-0.591224780306452
"190",3,"WALKING","tBodyAccMeanX",0.273428719636364
"191",3,"WALKING","tBodyAccMeanY",-0.017856067384956
"192",3,"WALKING","tBodyAccMeanZ",-0.106492632429097
"193",3,"WALKING","tBodyAccStdX",-0.623413602046921
"194",3,"WALKING","tBodyAccStdY",-0.480015920697654
"195",3,"WALKING","tBodyAccStdZ",-0.653625579293255
"196",3,"WALKING","tBodyGyroJerkMagMean",-0.784056656246334
"197",3,"WALKING","tBodyGyroJerkMagStd",-0.80366136372434
"198",3,"WALKING","tBodyGyroJerkMeanX",-0.0991554609633431
"199",3,"WALKING","tBodyGyroJerkMeanY",-0.0401923943695015
"200",3,"WALKING","tBodyGyroJerkMeanZ",-0.0521178264170088
"201",3,"WALKING","tBodyGyroJerkStdX",-0.689328428607038
"202",3,"WALKING","tBodyGyroJerkStdY",-0.842659862111437
"203",3,"WALKING","tBodyGyroJerkStdZ",-0.743028500565982
"204",3,"WALKING","tBodyGyroMagMean",-0.643150121648094
